time_s,board_in,t79_2_secondary,q79_3_g1,q79_3_g2,q79_3_drain,q79_3_source
9.1629854e-05,-9.97900064e-05,-0.0846261927,0.620352065,1.41532068,3.45736789,1.7353475
9.1630854e-05,-9.9264337e-05,-0.0731633721,0.623331864,1.40586665,3.45740417,1.73534747
9.1631854e-05,-9.8421259e-05,-0.0614668731,0.626366599,1.39746612,3.45744098,1.73534744
9.1632854e-05,-9.72634681e-05,-0.0495739596,0.629446601,1.39014595,3.45747817,1.73534742
9.1633854e-05,-9.57946667e-05,-0.037522522,0.632562058,1.38392954,3.45751554,1.73534739
9.1634854e-05,-9.40195512e-05,-0.0253509575,0.635703041,1.37883676,3.45755288,1.73534736
9.1635854e-05,-9.19437978e-05,-0.0130980493,0.638859544,1.3748839,3.45758998,1.73534734
9.1636854e-05,-8.95740441e-05,-0.000802844228,0.642021507,1.37208358,3.45762658,1.73534731
9.1637854e-05,-8.69178674e-05,0.0114954704,0.645178851,1.37044477,3.45766244,1.73534729
9.1638854e-05,-8.39837614e-05,0.0237576906,0.648321513,1.3699727,3.4576973,1.73534726
9.1639854e-05,-8.0781108e-05,0.0359447193,0.65143947,1.37066887,3.45773087,1.73534724
9.1640854e-05,-7.73201481e-05,0.0480176902,0.654522781,1.37253107,3.4577629,1.73534722
9.1641854e-05,-7.36119485e-05,0.0599380905,0.657561608,1.37555334,3.45779309,1.73534719
9.1642854e-05,-6.96683667e-05,0.0716678832,0.660546254,1.37972602,3.45782118,1.73534717
9.1643854e-05,-6.55020126e-05,0.0831696272,0.663467193,1.38503576,3.45784689,1.73534715
9.1644854e-05,-6.11262085e-05,0.0944065967,0.666315097,1.39146559,3.45786997,1.73534713
9.1645854e-05,-5.65549467e-05,0.105342898,0.669080869,1.39899495,3.45789014,1.73534711
9.1646854e-05,-5.18028442e-05,0.115943583,0.67175567,1.40759978,3.45790718,1.73534709
9.1647854e-05,-4.68850965e-05,0.126174761,0.674330949,1.41725257,3.45792085,1.73534707
9.1648854e-05,-4.18174285e-05,0.136003708,0.676798467,1.42792244,3.45793095,1.73534705
