time_s,q79_3_drain,c79_17_node,filt_loop,audio_terminal,pin_bias,agc_store
0.004792,3.32729278,3.36157474,-0.00165374969,-1.43917856,0.0396405608,1.16419681
0.0047928,3.32664145,3.36155047,-0.00167224698,-1.44283467,0.0396518309,1.16419652
0.0047936,3.32539509,3.36152616,-0.00169077763,-1.44645041,0.0396737763,1.16419623
0.0047944,3.32509945,3.3615019,-0.00170925995,-1.45002567,0.0396762331,1.16419594
0.0047952,3.32642684,3.36147839,-0.00172699396,-1.45356037,0.0396558477,1.16419565
0.004796,3.32723481,3.36145595,-0.00174365018,-1.45705441,0.0396407793,1.16419536
0.0047968,3.326569,3.36143399,-0.00175981718,-1.46050767,0.0396525409,1.16419507
0.0047976,3.32533502,3.361412,-0.00177601888,-1.46392004,0.0396743568,1.16419478
0.0047984,3.32506989,3.36139007,-0.00179216005,-1.46729143,0.0396762625,1.16419449
0.0047992,3.32641202,3.36136889,-0.00180754107,-1.47062176,0.039655645,1.1641942
0.0048,3.32721491,3.3613488,-0.0018218414,-1.47391092,0.0396410077,1.16419391
0.0048008,3.32653483,3.36132919,-0.0018356583,-1.47715882,0.0396532549,1.16419362
0.0048016,3.32531382,3.36130954,-0.00184951029,-1.48036533,0.0396749282,1.16419333
0.0048024,3.32507931,3.36128996,-0.00186328936,-1.48353037,0.0396762814,1.16419304
0.0048032,3.3264358,3.36127115,-0.00187629722,-1.48665387,0.0396554462,1.16419275
0.004804,3.32723325,3.36125343,-0.00188822204,-1.48973572,0.0396412513,1.16419246
0.0048048,3.32653911,3.36123618,-0.00189966929,-1.49277583,0.039653974,1.16419217
0.0048056,3.32533161,3.3612189,-0.00191115323,-1.49577408,0.0396754909,1.16419188
0.0048064,3.32512767,3.3612017,-0.00192255338,-1.49873039,0.039676291,1.16419159
0.0048072,3.32649809,3.36118527,-0.00193317229,-1.5016447,0.0396552499,1.1641913
0.004808,3.32728974,3.36116994,-0.00194270703,-1.5045169,0.0396415043,1.16419101
0.0048088,3.32658171,3.36115508,-0.00195177139,-1.5073469,0.0396546958,1.16419072
