target_per_diode_current_a,frequency_hz,q79_3_gate1_gain_db
0.0,8812000.0,37.9073056560472
0.0,8812200.0,37.91975586007173
0.0,8812400.0,37.932216092718875
0.0,8812600.0,37.94468637337332
0.0,8812800.0,37.95716673210242
0.0,8813000.0,37.96965716568561
0.0,8813200.0,37.982157703596414
0.0,8813400.0,37.994668353058685
0.0,8813600.0,38.00718914290865
0.0,8813800.0,38.01972010161809
0.0,8814000.0,38.03226121371805
0.0,8814200.0,38.0448125289007
0.0,8814400.0,38.05737405291944
0.0,8814600.0,38.06994579129315
0.0,8814800.0,38.08252778180151
0.0,8815000.0,38.09512004017157
0.0,8815200.0,38.10772257103589
0.0,8815400.0,38.12033541114959
0.0,8815600.0,38.1329585645437
0.0,8815800.0,38.14559204577358
0.0,8816000.0,38.158235890579185
0.0,8816200.0,38.170890102120346
0.0,8816400.0,38.18355470474356
0.0,8816600.0,38.19622971175483
0.0,8816800.0,38.20891514684889
0.0,8817000.0,38.22161103337271
0.0,8817200.0,38.23431738368286
0.0,8817400.0,38.247034220480934
0.0,8817600.0,38.25976155551137
0.0,8817800.0,38.27249941083459
0.0,8818000.0,38.2852477975871
0.0,8818200.0,38.29800675832454
0.0,8818400.0,38.31077628238543
0.0,8818600.0,38.323556411630705
0.0,8818800.0,38.3363471453811
0.0,8819000.0,38.34914852476067
0.0,8819200.0,38.36196054847959
0.0,8819400.0,38.374783246456474
0.0,8819600.0,38.387616637756906
0.0,8819800.0,38.40046074111405
0.0,8820000.0,38.41331557492977
0.0,8820200.0,38.42618115727576
0.0,8820400.0,38.43905750589462
0.0,8820600.0,38.45194463820102
0.0,8820800.0,38.46484258164787
0.0,8821000.0,38.477751352951124
0.0,8821200.0,38.490670968502165
0.0,8821400.0,38.50360145468792
0.0,8821600.0,38.51654282720798
0.0,8821800.0,38.529495101440865
0.0,8822000.0,38.54245830271795
0.0,8822200.0,38.55543244573289
0.0,8822400.0,38.56841755510386
0.0,8822600.0,38.58141365507127
0.0,8822800.0,38.59442074907576
0.0,8823000.0,38.60743888109015
0.0,8823200.0,38.62046805386673
0.0,8823400.0,38.633508290238574
0.0,8823600.0,38.64655961266699
0.0,8823800.0,38.659622033107524
0.0,8824000.0,38.67269559356737
0.0,8824200.0,38.68578028503997
0.0,8824400.0,38.69887615887184
0.0,8824600.0,38.711983215489695
0.0,8824800.0,38.7251014751958
0.0,8825000.0,38.73823096797319
0.0,8825200.0,38.751371703324764
0.0,8825400.0,38.76452371048065
0.0,8825600.0,38.77768700825248
0.0,8825800.0,38.790861625077
0.0,8826000.0,38.80404756903736
0.0,8826200.0,38.8172448578746
0.0,8826400.0,38.830453528851095
0.0,8826600.0,38.843673598909724
0.0,8826800.0,38.856905074734016
0.0,8827000.0,38.87014799239494
0.0,8827200.0,38.88340236773865
0.0,8827400.0,38.896668226125705
0.0,8827600.0,38.90994558266249
0.0,8827800.0,38.923234461942265
0.0,8828000.0,38.93653488815404
0.0,8828200.0,38.9498468752818
0.0,8828400.0,38.96317044675518
0.0,8828600.0,38.976505635375766
0.0,8828800.0,38.98985244421488
0.0,8829000.0,39.003210905292775
0.0,8829200.0,39.01658105017356
0.0,8829400.0,39.02996288083021
0.0,8829600.0,39.0433564280537
0.0,8829800.0,39.056761722183126
0.0,8830000.0,39.070178764105265
0.0,8830200.0,39.08360760269904
0.0,8830400.0,39.0970482380891
0.0,8830600.0,39.110500699000646
0.0,8830800.0,39.123965013714134
0.0,8831000.0,39.137441200474036
0.0,8831200.0,39.15092927714262
0.0,8831400.0,39.164429280327234
0.0,8831600.0,39.17794121749254
0.0,8831800.0,39.19146510531792
0.0,8832000.0,39.20500098866137
0.0,8832200.0,39.218548873813354
0.0,8832400.0,39.232108795216206
0.0,8832600.0,39.245680758399665
0.0,8832800.0,39.25926480641836
0.0,8833000.0,39.2728609440026
0.0,8833200.0,39.286469203862616
0.0,8833400.0,39.30008960880908
0.0,8833600.0,39.31372218122862
0.0,8833800.0,39.32736694308527
0.0,8834000.0,39.34102392529251
0.0,8834200.0,39.35469313021799
0.0,8834400.0,39.36837460663441
0.0,8834600.0,39.382068356089626
0.0,8834800.0,39.395774417080716
0.0,8835000.0,39.409492808979834
