time_s,r_line_v,t_line_v,q79_6_base_v,agc_store_v,pin_bias_v,pin_current_a_per_branch,meter_current_a,d79_4_anode_v,d79_4_cathode_v
0.0088,12.1,0.2,0.0472222229,1.23940974,0.0380851463,1.7899999996129345e-11,1.42992049e-08,0.14831507,1.42992049e-05
0.00885,12.1,0.2,0.0472222232,1.23939045,0.0380874865,1.790000000306824e-11,1.42942996e-08,0.148300512,1.42942996e-05
0.0089,12.1,0.2,0.0472227852,1.24055185,0.038089876,1.8400000002805062e-11,1.47477374e-08,0.149175192,1.47477374e-05
0.00895,12.1,0.2,0.0472229553,1.24323787,0.0380924073,1.8999999996938132e-11,1.5520449399999997e-08,0.151207528,1.55204494e-05
0.009,12.1,0.2,0.0472230513,1.24648012,0.0380950992,1.960000000494899e-11,1.6474124899999998e-08,0.153669651,1.64741249e-05
0.00905,12.1,0.2,0.0472230654,1.24995355,0.0380979716,2.040000000175235e-11,1.7536427e-08,0.156317743,1.7536427e-05
0.0091,12.1,0.2,0.0472229973,1.2533151,0.038101029,2.119999999855571e-11,1.86099175e-08,0.158890523,1.86099175e-05
0.00915,12.1,0.2,0.0472228544,1.25623606,0.0381042569,2.1799999999627673e-11,1.9577215e-08,0.161133962,1.9577215e-05
0.0092,12.1,0.2,0.0472226529,1.25843603,0.0381076206,2.2200000004968245e-11,2.03169993e-08,0.162828552,2.03169993e-05
0.00925,12.1,0.2,0.0472222816,1.25939941,0.0381110517,2.2299999999364496e-11,2.0573154799999998e-08,0.163573,2.05731548e-05
0.0093,12.1,0.2,0.0472222398,1.25950678,0.0381144816,2.219999999802935e-11,2.06019506e-08,0.163656021,2.06019506e-05
0.00935,12.1,0.2,0.0472222231,1.25952535,0.038117912,2.2299999999364496e-11,2.0604342700000002e-08,0.163670418,2.06043427e-05
0.0094,12.1,0.2,0.0472222229,1.2595053,0.0381213404,2.2299999999364496e-11,2.05967418e-08,0.163654944,2.05967418e-05
0.00945,12.1,0.2,0.0472222229,1.25948542,0.0381247671,2.219999999802935e-11,2.0589265200000002e-08,0.163639606,2.05892652e-05
0.0095,12.1,0.2,0.0472222229,1.25946555,0.0381281923,2.2299999999364496e-11,2.05817916e-08,0.163624275,2.05817916e-05
0.00955,12.1,0.2,0.0472222229,1.25944568,0.0381316158,2.219999999802935e-11,2.0574325399999997e-08,0.163608948,2.05743254e-05
0.0096,12.1,0.2,0.0472222229,1.25942583,0.0381350378,2.219999999802935e-11,2.05668623e-08,0.163593627,2.05668623e-05
0.00965,12.1,0.2,0.0472222229,1.25940597,0.0381384582,2.2200000004968245e-11,2.0559406400000003e-08,0.163578311,2.05594064e-05
0.0097,12.1,0.2,0.0472222229,1.25938613,0.0381418771,2.2299999999364496e-11,2.05519553e-08,0.163563002,2.05519553e-05
