time_s,pto_emitter_v,crystal_q89_3_drain_v
9.246797956437e-05,1.780265473741e+00,7.747573249066e+00
9.246997956437e-05,1.761034204333e+00,7.747532516288e+00
9.247197956437e-05,1.741537380162e+00,7.747465680096e+00
9.247397956437e-05,1.721859830294e+00,7.747373105055e+00
9.247597956437e-05,1.702087170117e+00,7.747255458596e+00
9.247797956437e-05,1.682305428835e+00,7.747113709127e+00
9.247997956437e-05,1.662600675166e+00,7.746949118223e+00
9.248197956437e-05,1.643058642858e+00,7.746763227130e+00
9.248397956437e-05,1.623764357674e+00,7.746557837960e+00
9.248597956437e-05,1.604801767449e+00,7.746334990135e+00
9.248797956437e-05,1.586253376840e+00,7.746096932707e+00
9.248997956437e-05,1.568199888357e+00,7.745846093308e+00
9.249197956437e-05,1.550719851231e+00,7.745585044479e+00
9.249397956437e-05,1.533889319656e+00,7.745316468179e+00
9.249597956437e-05,1.517781521877e+00,7.745043119231e+00
9.249797956437e-05,1.502466541588e+00,7.744767788457e+00
9.249997956437e-05,1.488011012999e+00,7.744493266184e+00
9.250197956437e-05,1.474477830915e+00,7.744222310762e+00
9.250397956437e-05,1.461925877089e+00,7.743957611056e+00
9.250597956437e-05,1.450409764032e+00,7.743701736316e+00
9.250797956437e-05,1.439979597397e+00,7.743457133774e+00
9.250997956437e-05,1.430680757974e+00,7.743226107101e+00
9.251197956437e-05,1.422553704243e+00,7.743010769335e+00
9.251397956437e-05,1.415633796340e+00,7.742813032609e+00
9.251597956437e-05,1.409951142211e+00,7.742634591685e+00
9.251797956437e-05,1.405530466613e+00,7.742476911116e+00
9.251997956437e-05,1.402391003539e+00,7.742341216084e+00
9.252197956437e-05,1.400546412533e+00,7.742228486866e+00
9.252397956437e-05,1.400004719256e+00,7.742139456867e+00
9.252597956437e-05,1.400768280571e+00,7.742074614073e+00
9.252797956437e-05,1.402833774287e+00,7.742034205738e+00
9.252997956437e-05,1.406192213612e+00,7.742018246059e+00
9.253197956437e-05,1.410828986254e+00,7.742026526535e+00
9.253397956437e-05,1.416723918001e+00,7.742058628677e+00
9.253597956437e-05,1.423851360492e+00,7.742113938673e+00
9.253797956437e-05,1.432180302817e+00,7.742191663583e+00
9.253997956437e-05,1.441674506439e+00,7.742290848621e+00
9.254197956437e-05,1.452292662863e+00,7.742410395028e+00
9.254397956437e-05,1.463988573373e+00,7.742549078086e+00
9.254597956437e-05,1.476711350032e+00,7.742705564761e+00
9.254797956437e-05,1.490405637092e+00,7.742878430550e+00
9.254997956437e-05,1.505011851847e+00,7.743066175095e+00
9.255197956437e-05,1.520466443868e+00,7.743267236211e+00
9.255397956437e-05,1.536702171505e+00,7.743480002027e+00
9.255597956437e-05,1.553648394453e+00,7.743702821058e+00
9.255797956437e-05,1.571231381103e+00,7.743934010102e+00
9.255997956437e-05,1.589374629337e+00,7.744171859999e+00
9.256197956437e-05,1.607999199387e+00,7.744414639403e+00
9.256397956437e-05,1.627024057291e+00,7.744660596864e+00
9.256597956437e-05,1.646366427471e+00,7.744907961622e+00
9.256797956437e-05,1.665942152879e+00,7.745154943654e+00
9.256997956437e-05,1.685666061155e+00,7.745399733583e+00
9.257197956437e-05,1.705452335211e+00,7.745640503151e+00
9.257397956437e-05,1.725214886608e+00,7.745875406942e+00
9.257597956437e-05,1.744867730124e+00,7.746102586073e+00
9.257797956437e-05,1.764325357867e+00,7.746320174443e+00
9.257997956437e-05,1.783503111312e+00,7.746526308091e+00
9.258197956437e-05,1.802317549642e+00,7.746719137968e+00
9.258397956437e-05,1.820686812798e+00,7.746896846321e+00
9.258597956437e-05,1.838530977638e+00,7.747057666589e+00
9.258797956437e-05,1.855772405680e+00,7.747199906534e+00
9.258997956437e-05,1.872336080902e+00,7.747321974064e+00
9.259197956437e-05,1.888149936124e+00,7.747422405016e+00
9.259397956437e-05,1.903145166575e+00,7.747499891999e+00
9.259597956437e-05,1.917256529250e+00,7.747553313241e+00
9.259797956437e-05,1.930422626780e+00,7.747581760378e+00
9.259997956437e-05,1.942586174566e+00,7.747584564049e+00
9.260197956437e-05,1.953694250021e+00,7.747561316292e+00
9.260397956437e-05,1.963698522829e+00,7.747511888790e+00
9.260597956437e-05,1.972555465228e+00,7.747436446222e+00
9.260797956437e-05,1.980226541397e+00,7.747335454141e+00
9.260997956437e-05,1.986678375120e+00,7.747209681044e+00
9.261197956437e-05,1.991882895002e+00,7.747060194486e+00
9.261397956437e-05,1.995817456610e+00,7.746888351332e+00
9.261597956437e-05,1.998464940992e+00,7.746695782435e+00
9.261797956437e-05,1.999813829162e+00,7.746484372164e+00
9.261997956437e-05,1.999858252221e+00,7.746256233384e+00
9.262197956437e-05,1.998598016887e+00,7.746013678559e+00
9.262397956437e-05,1.996038606340e+00,7.745759187732e+00
9.262597956437e-05,1.992191156363e+00,7.745495374142e+00
9.262797956437e-05,1.987072406891e+00,7.745224948289e+00
9.262997956437e-05,1.980704629179e+00,7.744950681188e+00
9.263197956437e-05,1.973115528901e+00,7.744675367547e+00
9.263397956437e-05,1.964338125602e+00,7.744401791294e+00
