time_s,u89_1_pin1_v,u89_1_pin4_v,u89_1_signal_diff_v,u89_1_pin8_v,u89_1_pin10_v,u89_1_carrier_diff_v,u89_1_pin6_v,u89_1_pin12_v,u89_1_output_diff_v
7.304197956433e-05,6.836843617606e+00,6.783260492334e+00,5.358312527202e-02,1.004439335998e+01,1.001794792421e+01,2.644543576226e-02,1.270594670062e+01,1.277844574258e+01,-7.249904196687e-02
7.304397956433e-05,6.828999664677e+00,6.783269790028e+00,4.572987464908e-02,1.004372887945e+01,1.001804687305e+01,2.568200640000e-02,1.270411776892e+01,1.277676496526e+01,-7.264719633709e-02
7.304597956433e-05,6.820974337300e+00,6.783278376994e+00,3.769596030578e-02,1.004285959464e+01,1.001814151153e+01,2.471808310881e-02,1.270373959775e+01,1.277497714144e+01,-7.123754368398e-02
7.304797956433e-05,6.812802360839e+00,6.783286170067e+00,2.951619077166e-02,1.004179414636e+01,1.001823097924e+01,2.356316711952e-02,1.270482608721e+01,1.277313238414e+01,-6.830629692861e-02
7.304997956433e-05,6.804519006807e+00,6.783293091729e+00,2.122591507838e-02,1.004054304972e+01,1.001831446360e+01,2.222858611570e-02,1.270735249485e+01,1.277128097335e+01,-6.392847849857e-02
7.305197956433e-05,6.796160128236e+00,6.783299070890e+00,1.286105734609e-02,1.003911862300e+01,1.001839120782e+01,2.072741517671e-02,1.271125645923e+01,1.276947195912e+01,-5.821549989440e-02
7.305397956433e-05,6.787761831173e+00,6.783304043614e+00,4.457787559180e-03,1.003753476520e+01,1.001846051826e+01,1.907424694588e-02,1.271644002076e+01,1.276775182167e+01,-5.131180090997e-02
7.305597956433e-05,6.779360490443e+00,6.783307953755e+00,-3.947463311616e-03,1.003580685519e+01,1.001852177116e+01,1.728508403027e-02,1.272277255757e+01,1.276616337107e+01,-4.339081349895e-02
7.305797956433e-05,6.770992432606e+00,6.783310753531e+00,-1.231832092505e-02,1.003395151532e+01,1.001857441867e+01,1.537709664777e-02,1.273009450803e+01,1.276474476275e+01,-3.465025472371e-02
7.305997956433e-05,6.762693936005e+00,6.783312404002e+00,-2.061846799709e-02,1.003198649219e+01,1.001861799405e+01,1.336849813697e-02,1.273822176152e+01,1.276352877520e+01,-2.530701368038e-02
7.306197956433e-05,6.754500926443e+00,6.783312875478e+00,-2.881194903470e-02,1.002993041535e+01,1.001865211607e+01,1.127829927939e-02,1.274695056819e+01,1.276254221080e+01,-1.559164261933e-02
7.306397956433e-05,6.746448965404e+00,6.783312147828e+00,-3.686318242377e-02,1.002780266675e+01,1.001867649247e+01,9.126174280979e-03,1.275606283845e+01,1.276180553583e+01,-5.742697379459e-03
7.306597956433e-05,6.738572959949e+00,6.783310210715e+00,-4.473725076652e-02,1.002562313926e+01,1.001869092250e+01,6.932216760401e-03,1.276533168510e+01,1.276133261412e+01,3.999070982760e-03
7.306797956433e-05,6.730907142937e+00,6.783307063734e+00,-5.239992079704e-02,1.002341209856e+01,1.001869529853e+01,4.716800024061e-03,1.277452708697e+01,1.276113063194e+01,1.339645503483e-02
7.306997956433e-05,6.723484798811e+00,6.783302716464e+00,-5.981791765205e-02,1.002118994354e+01,1.001868960666e+01,2.500336886271e-03,1.278342154264e+01,1.276120007573e+01,2.222146691152e-02
7.307197956433e-05,6.716338239534e+00,6.783297188432e+00,-6.695894889857e-02,1.001897706256e+01,1.001867392626e+01,3.031362925707e-04,1.279179560932e+01,1.276153485680e+01,3.026075251886e-02
7.307397956433e-05,6.709498547983e+00,6.783290508994e+00,-7.379196101176e-02,1.001679359716e+01,1.001864842870e+01,-1.854831538740e-03,1.279944321259e+01,1.276212246538e+01,3.732074720185e-02
7.307597956433e-05,6.702995553120e+00,6.783282717112e+00,-8.028716399175e-02,1.001465929540e+01,1.001861337493e+01,-3.954079531340e-03,1.280617663508e+01,1.276294425705e+01,4.323237803133e-02
7.307797956433e-05,6.696857592685e+00,6.783273861057e+00,-8.641626837217e-02,1.001259328228e+01,1.001856911230e+01,-5.975830024340e-03,1.281183107968e+01,1.276397578114e+01,4.785529854540e-02
7.307997956433e-05,6.691111490844e+00,6.783263998022e+00,-9.215250717741e-02,1.001061391571e+01,1.001851607040e+01,-7.902154690150e-03,1.281626871965e+01,1.276518726452e+01,5.108145512805e-02
