supply_v,q1_gate1_v,q1_source_v,q1_drain_v,v_gs_v,drain_current_ma
4.249999999999993,0.3569113317690739,1.517529110377951,3.919591807470818,-1.160617778608877,3.228785341229683
4.299999999999993,0.3613855678062617,1.521143017999298,3.968793182779339,-1.1597574501930363,3.2364745063814846
4.349999999999993,0.3658597935237934,1.524757459373229,4.017994442316597,-1.1588976658494357,3.244164807177083
4.399999999999992,0.3703340100606383,1.528372375652578,4.067195598846544,-1.1580383655919397,3.2518561184097408
4.449999999999992,0.3748082186865618,1.531987701159441,4.116396666614778,-1.1571794824728792,3.2595483003392363
4.499999999999992,0.3792824208229494,1.535603362373036,4.165597661567927,-1.1563209415500868,3.2672411965383747
4.549999999999992,0.3837566180643568,1.53921927674572,4.214798601610743,-1.1554626586813632,3.2749346313738723
4.599999999999992,0.3882308122092515,1.54283535132207,4.263999506905394,-1.1546045391128186,3.282628407068234
4.649999999999991,0.392705005285948,1.546451481115577,4.313200400223363,-1.153746475829629,3.2903223002459088
4.699999999999991,0.3971791995947059,1.550067547217936,4.36240130735612,-1.1528883476232301,3.2980160579105022
4.749999999999991,0.401653397745056,1.553683414577828,4.41160225759624,-1.152030016832772,3.305709392718783
4.799999999999991,0.4061276027109378,1.557298929417306,4.460803284298357,-1.1511713267063683,3.31340197748363
4.849999999999991,0.4106018178847274,1.560913916215753,4.510004425533008,-1.1503120983310255,3.3210934387569213
4.899999999999991,0.4150760471475112,1.564528174222906,4.559205724843117,-1.1494521270753948,3.3287833494104384
4.94999999999999,0.4195502949461973,1.56814147344646,4.608407232114142,-1.1485911785002627,3.336471220098851
4.99999999999999,0.4240245663797876,1.571753550087811,4.657609004564276,-1.1477289837080233,3.344156489548534
5.04999999999999,0.4284988673015132,1.575364101437527,4.706811107851372,-1.1468652341360137,3.3518385136968663
5.09999999999999,0.4329732044223603,1.578972780287412,4.756013617285147,-1.1459995758650519,3.359516553803004
5.14999999999999,0.4374475854289739,1.582579189039018,4.805216619104976,-1.145131603610044,3.3671897639128043
5.19999999999999,0.4419220190959177,1.586182873820078,4.854420211756244,-1.1442608547241604,3.3748571783405916
5.249999999999989,0.4463965153895431,1.589783319163601,4.903624507043935,-1.143386803774058,3.382517700348087
5.299999999999989,0.4508710855397934,1.593379944105262,4.952829630979811,-1.1425088585654688,3.390170093840983
5.349999999999989,0.4553457420673678,1.596972100963586,5.00203572404645,-1.141626358896218,3.3978129807735873
5.399999999999989,0.4598204987239269,1.600559078491832,5.051242940513784,-1.140738579767905,3.4054448478549615
5.449999999999989,0.4642953703015904,1.604140111480002,5.100451446356413,-1.1398447411784116,3.4130640669787273
5.499999999999988,0.468770372284416,1.607714399034167,5.149661415288914,-1.1389440267497508,3.4206689341152487
5.549999999999988,0.4732455202877406,1.611281133320718,5.198873022531098,-1.1380356130329774,3.4282577304696127
5.599999999999988,0.4777208292966153,1.614839539302851,5.248086436188752,-1.1371187100062357,3.435828807027342
5.649999999999988,0.4821963127151981,1.618388923602701,5.297301806656375,-1.136192610887503,3.443380688516385
5.699999999999988,0.4866719813453731,1.621928727475346,5.346519255125949,-1.135256746129973,3.4509121861177574
5.749999999999988,0.4911478424382609,1.625458575790497,5.395738862963719,-1.134310733352236,3.4584225016819086
5.799999999999987,0.4956238990106262,1.628978312481857,5.444960664020457,-1.1333544134712308,3.4659113031528874
5.849999999999987,0.5000998717976359,1.632502383232254,5.494181525016462,-1.1324025114346181,3.4734093260260726
5.899999999999987,0.5045758126607449,1.636028105277396,5.543402027845396,-1.131452292616651,3.480910862292332
5.949999999999987,0.5090517388128576,1.639554588293569,5.592622365619157,-1.1305028494807114,3.4884140176458915
5.999999999999987,0.5135276502889675,1.643081830413656,5.641842538742696,-1.1295541801246887,3.4959187881141616
6.049999999999986,0.5180035471280745,1.646609829650831,5.691062547646982,-1.1286062825227563,3.5034251694698533
6.099999999999986,0.522479429370893,1.650138584027175,5.740282392761118,-1.127659154656282,3.5109331575046276
6.149999999999986,0.5269552970506587,1.653668091567343,5.789502074513489,-1.1267127945166844,3.5184427480156235
6.199999999999986,0.5314311502089634,1.657198350311171,5.838721593329145,-1.1257672001022074,3.5259539368322788
6.249999999999986,0.5359069888836288,1.660729358303967,5.88794094963219,-1.1248223694203383,3.5334667197956744
6.299999999999986,0.5403828131104084,1.664261113597925,5.937160143845097,-1.1238783004875166,3.540981092761543
6.349999999999985,0.5448586229280099,1.667793614255865,5.986379176387953,-1.122934991327855,3.5484970516082233
6.399999999999985,0.5493344183731063,1.671326858347459,6.035598047679466,-1.1219924399743526,3.556014592228636
6.449999999999985,0.5538101994835017,1.674860843951463,6.084816758136538,-1.121050644467961,3.5635337105350278
