time_s,filt_input,audio_opamp,audio_terminal,agc_opamp,d79_6_anode,agc_store,pin_bias,d79_1_feed
0.11318,0.00904820766,7.65547653,0.777103776,9.30993053,2.82425969,2.28776306,0.599235604,0.584945685
0.1132,0.00951049912,7.72408126,0.845058785,9.51999617,2.81705818,2.28821076,0.599557313,0.585182103
0.11322,0.00982280433,7.77940806,0.899686785,9.68820386,2.8075207,2.28857437,0.599848947,0.585395139
0.11324,0.00998019804,7.82058442,0.940126253,9.81190076,2.79459661,2.28885048,0.600105635,0.585581352
0.11326,0.00998019807,7.84696094,0.965739438,9.88913588,2.77632485,2.28903912,0.600323659,0.585738183
0.11328,0.00982280442,7.85812169,0.976122424,9.91869062,2.74880801,2.28914598,0.600500848,0.585864225
0.1133,0.00951049927,7.85389067,0.971111498,9.9000985,2.70437324,2.28918641,0.60063731,0.585959763
0.11332,0.00904820786,7.83433466,0.950785725,9.83365532,2.63076301,2.28918713,0.600736468,0.586027537
0.11334,0.00844322081,7.79976211,0.915465701,9.72041268,2.51665317,2.28917447,0.600805039,0.586072738
0.11336,0.00770507913,7.75071829,0.865708484,9.56215521,2.3584658,2.28915984,0.600850653,0.586101222
0.11338,0.00684542375,7.68797669,0.802298807,9.36137738,2.15783452,2.28914509,0.60087961,0.586117793
0.1134,0.00587781194,7.6125268,0.726236707,9.12124551,1.91787672,2.28913032,0.60089659,0.586125983
0.11342,0.00481750353,7.52555853,0.638721742,8.84554674,1.64238255,2.28911554,0.600905019,0.586128347
0.11344,0.00368122021,7.42844343,0.541134076,8.53867807,1.33874181,2.28910076,0.600907405,0.586126727
0.11346,0.00248688185,7.32271293,0.435012612,8.20536094,1.20331927,2.28908609,0.60090558,0.586122452
0.11348,0.00125332387,7.21003451,0.32203098,7.85091899,1.19875954,2.2890715,0.600900889,0.586116477
0.1135,2.31889175e-10,7.09218522,0.203971013,7.48096307,1.19655278,2.28905692,0.60089428,0.586109461
0.11352,-0.00125332341,6.97102356,0.0826945383,7.10130768,1.1953369,2.28904234,0.600886428,0.586101859
0.11354,-0.0024868814,6.84846028,-0.0398858876,6.71793981,1.19507957,2.28902775,0.60087781,0.586093982
0.11356,-0.00368121978,6.72642823,-0.16183714,6.33690511,1.19577067,2.28901317,0.600868757,0.586086036
0.11358,-0.00481750312,6.6068519,-0.281236008,5.96421243,1.19741798,2.28899859,0.600859496,0.586078154
0.1136,-0.00587781157,6.49161706,-0.396199523,5.60573915,1.20004824,2.28898401,0.600850177,0.586070415
0.11362,-0.00684542341,6.38254102,-0.50491465,5.26713848,1.20371146,2.28896944,0.600840897,0.586062863
0.11364,-0.00770507884,6.28134397,-0.605666886,4.9537503,1.20848944,2.28895486,0.600831716,0.586055519
0.11366,-0.00844322057,6.18962187,-0.696867294,4.67051694,1.21451107,2.28894028,0.600822666,0.586048384
0.11368,-0.00904820766,6.10882125,-0.777077569,4.42190527,1.22197957,2.2889257,0.600813763,0.586041453
0.1137,-0.00951049912,6.0402164,-0.845032723,4.21183619,1.2312227,2.28891113,0.600805009,0.586034711
0.11372,-0.00982280433,5.9848893,-0.899661036,4.04362286,1.24279039,2.28889656,0.6007964,0.586028143
0.11374,-0.00998019804,5.94371251,-0.940100965,3.91991846,1.25765794,2.28888198,0.600787927,0.58602173
0.11376,-0.00998019807,5.91733542,-0.965714731,3.84267446,1.27767508,2.28886742,0.600779579,0.586015456
0.11378,-0.00982280442,5.90617403,-0.976098381,3.81311002,1.3065709,2.28885286,0.600771343,0.586009303
0.1138,-0.00951049927,5.91040436,-0.971088159,3.8316923,1.35182928,2.2888383,0.600763208,0.586003256
0.11382,-0.00904820786,5.92995969,-0.950763087,3.8981262,1.42571818,2.28882377,0.600755163,0.585997301
0.11384,-0.00844322081,5.9645316,-0.915443715,4.01136048,1.53986158,2.28880927,0.6007472,0.585991428
0.11386,-0.00770507913,6.01357488,-0.865687061,4.16961101,1.69804416,2.2887948,0.60073931,0.585985626
0.11388,-0.00684542375,6.07631606,-0.802277824,4.37038385,1.89867043,2.28878036,0.600731487,0.585979889
0.1139,-0.00587781194,6.15176568,-0.72621601,4.61051301,2.13862548,2.28876596,0.600723725,0.585974209
0.11392,-0.00481750353,6.23873385,-0.638701161,4.88621151,2.41411946,2.28875162,0.600716019,0.58596858
0.11394,-0.00368122021,6.33584903,-0.541113432,5.19308198,2.71782216,2.28874358,0.600708523,0.585963103
0.11396,-0.00248688185,6.44157979,-0.434991724,5.52641568,2.84132861,2.28917536,0.600727908,0.585976969
0.11398,-0.00125332387,6.55425862,-0.322009696,5.88085272,2.84467184,2.28990778,0.600840478,0.586060846
0.114,-2.318572e-10,6.67210846,-0.203949197,6.25081677,2.84701503,2.29067536,0.601034199,0.586205765
0.11402,0.00125332341,6.79327077,-0.0826720889,6.63048146,2.84865422,2.29146507,0.601291401,0.586397848
0.11404,0.0024868814,6.91583477,0.0399090329,7.01385915,2.84960906,2.29226414,0.601597476,0.586625696
0.11406,0.00368121978,7.03786755,0.161861,7.39490358,2.84987549,2.29305969,0.601939651,0.586879433
0.11408,0.00481750312,7.15744458,0.281260557,7.76760528,2.84942761,2.29383902,0.602306464,0.587150284
0.1141,0.00587781157,7.27268007,0.396224691,8.12608629,2.84821654,2.29458971,0.602687467,0.587430343
